title,description
Why are there calls for Justin Trudeau to resign? Explaining the Canadian PM's political woes,"A decade ago, Canadian Prime Minister Justin Trudeau was a shining figure in international diplomacy. Now he's facing a no-confidence vote."
Canada must not ‘freak out’ over Trump’s tariff threat – Trudeau,The President-elect has threatened Ottawa with 25% tariffs on imports unless it tightens border security
Katy Perry & Justin Trudeau Seen on Dinner Date in Montreal,"Katy Perry is saying ""bon appétit"" to Justin Trudeau ... as the pair was seen chowing down at a swanky restaurant in Montreal."
Trudeau sign nuclear energy cooperation agreement with Poland,Prime Minister Justin Trudeau is travelling to Warsaw today to meet with his Polish counterpart Donald Tusk.
Katy Perry Subtly Soft Launches Justin Trudeau Relationship,"Katy Perry included her new beau Justin Trudeau in an Instagram post celebrating her 41st birthday, officially soft launching their romance on social media."
Trudeau to meet Polish PM and sign nuclear energy cooperation agreement,"Breaking News, Sports, Manitoba, Canada"
Katy Perry Tells Fan She Is Dating Somebody Else Amid Trudeau Romance,Katy Perry told a Prague crowd she is dating somebody else amid reports she is exploring a romance with Justin Trudeau and fans proposing
"Orlando Bloom Jokingly Reacts to Katy Perry, Justin Trudeau Rumored Romance","Orlando Bloom reacted to a satirical post about him going on date with former German Chancellor Angela Merkel, seemingly referencing the rumored romance between..."
Katy Perry and shirtless Justin Trudeau get hot and heavy on singer’s yacht,Katy Perry and Justin Trudeau packed on the PDA in steamy photos from her yacht.
Justin Trudeau and Katy Perry’s Teen-Age Dream,"The pair, spotted together kissing on a yacht, seemed to represent a romance for an era of celebrity politics, when a former President has Netflix deals and the..."
Canada’s Trudeau is to reshuffle his Cabinet as resignation calls mount and discontent rises,TORONTO (AP) — Canadian Prime Minister Justin Trudeau 's cling to power became more tenuous Friday after the opposition party that backed his government for y...
'To Governor Justin Trudeau of Canada': Trump's Christmas message,
Trudeau says he 'had a good call' with Trump about tariffs,"Canadian Prime Minister Justin Trudeau said he ""had a good call” with President-elect Donald Trump following his new announcement of a 25% tariff on items fro..."
"Does Trudeau have the confidence of his cabinet? ‘Yes,’ says LeBlanc - National",Finance Minister Dominic LeBlanc was also asked if he would consider an opportunity to lead the country if he were given the chance.
From $2 resignation burgers to relief: British Columbians react to Trudeau resignation,Reaction has been pouring in following news that Justin Trudeau is stepping down as prime minister and the Liberal leader. Trudeau made the announcement on Mond...
Katy Perry's viral response to fan proposal fuels Justin Trudeau romance talk,Katy Perry's recent remarks at a London concert and viral photos with Justin Trudeau have stirred speculation about her relationship status. The singer gave a c...
Justin Trudeau Steps Down As Canadian Prime Minister After 10 Years In Power (VIDEO),Justin Trudeau made the announcement while addressing a press conference today. There are reports that he will remain in power until a replacement party leader ...
Raymond J. de Souza: Trudeau makes everyone's skin crawl,No more hugs for the prime minister
