title	description	snippet		Typology			Potential Categories	
What will Canada's second Trudeau era leave behind?	It is impossible in the present to know what history will remember. But Justin Trudeau’s time as a maker of history is now within sight. It is not too early t...	"In an interview in December 2022, Justin Trudeau allowed himself to talk about legacy.

He has typically avoided entertaining such stuff. But sitting in his Wes..."		Canadian Politics				
"Trudeau delivers Christmas message, thanks essential workers"	"Prime Minister Justin Trudeau, in a pre-recorded message, offered Christmas wishes and thanked all essential workers who were on the job so others could celebra..."	"Trudeau delivers Christmas message, thanks essential workers

News

Duration 1:45



Prime Minister Justin Trudeau, in a pre-recorded message, offered Christmas..."		Canadian Politics				
Trudeau: Canada ‘will respond’ if Trump imposes tariffs	"Canadian Prime Minister Justin Trudeau has warned of retaliatory measures if US President-elect Donald Trump imposes new tariffs, citing the success o"	"Trump said he would impose across-the-board 25% tariffs on Canadian and Mexican imports on the first day of his presidency.

Prime Minister Justin Trudeau said ..."		US-Trump Politics				
How Justin Trudeau won and lost the public's adoration	"In his early days as prime minister, Justin Trudeau was ""cool."" In the year that followed his majority sweep into power, he appeared in the pages of Vogue, on t..."	"In his early days as prime minister, Justin Trudeau was ""cool."" In the year that followed his majority sweep into power, he appeared in the pages of Vogue, on t..."		Canadian Politics				
Trudeau to appear at Liberal fundraiser tonight	"Chrystia Freeland, Canada's finance minister, said in an explosive letter published Monday morning that she will quit cabinet. Follow along for live updates."	"Prime Minister Justin Trudeau is considering his options as leader, sources tell CTV News, after Finance Minister Chrystia Freeland revealed she will quit cabin..."		Canadian Politics				
"U.S.-Canada alliance stronger because of Trudeau, Biden says - National"	"The outgoing U.S. president listed a range of issues that he and Trudeau worked on together, 'from the COVID-19 pandemic, to climate change, to the scourge of..."	"Send this page to someone via email

The U.S.-Canada alliance is stronger because of Prime Minister Justin Trudeau, U.S. President Joe Biden said in a statement..."		US-Trump Politics				
Canadian Prime Minister Justin Trudeau announces his resignation	"Canadian Prime Minister Justin Trudeau has announced his resignation, telling the media that “internal battles” mean he “cannot be the best option” in t..."	"Prime Minister Justin Trudeau looks on during a cabinet swearing-in ceremony at Rideau Hall in Ottawa, on Friday, Dec.20, 2024.(Sean Kilpatrick /The Canadian Pr..."		Resignation				
Trudeau slams Trump’s ‘dumb’ tariffs as economic war on Canada	"Trudeau blasts Trump’s tariffs as an attack on Canada’s economy, warning of severe consequences for both nations."	"Justin Trudeau warns Trump’s tariffs aim to collapse Canada’s economy, vowing retaliation in a growing US-Canada trade war.

Canada’s Prime Minister Justi..."		US-Trump Politics				
Trudeau announces Canada-U.S. Economic Summit for Friday	"With the threat of punishing tariffs on pause but still hovering over the Canadian economy, Prime Minister Justin Trudeau announced the government will host a C..."	"With the threat of punishing tariffs on pause but still hovering over the Canadian economy, Prime Minister Justin Trudeau announced the government will host a C..."		US-Trump Politics				
Trudeau calls for calm in face of Trump's tariff threat	"Canadians need to remain calm in the face of U.S. president-elect Donald Trump’s threat to impose 25 per cent tariffs on all imports from Canada, Prime Minist..."	"Canadians need to remain calm in the face of U.S. president-elect Donald Trump's threat to impose 25 per cent tariffs on all imports from Canada, Prime Minister..."		US-Trump Politics				
Tariffs on Canada also postponed after Trump-Trudeau talks	"After agreeing with Mexico's Claudia Sheinbaum on a one-month pause for the imposition of 25% tariffs, US President Donald Trump reached an understanding Monday..."	"Tariffs on Canada also postponed after Trump-Trudeau talks

4th Tuesday, February 2025 - 08:46 UTC Full article

Trudeau had announced Canada's own 25% tariff o..."		US-Trump Politics				
Why Donald Trump has a rocky relationship with Justin Trudeau?	"The relationship remains strained, with significant economic stakes for Canada. If tensions escalate further, the impact on Canada’s economy could be serious"	"The relationship remains strained, with significant economic stakes for Canada. If tensions escalate further, the impact on Canada’s economy could be serious
..."		US-Trump Politics				
Photo shows Justin Trudeau kissing Katy Perry on a yacht	"The former prime minister of Canada was seen kissing the Grammy-nominated pop star on her yacht off the coast of Santa Barbara, Calif."	"Things are heating up between Justin Trudeau and “Dark Horse” singer Katy Perry.

The former prime minister of Canada was seen kissing the Grammy-nominated ..."		Dating Life				
Justin Trudeau Subtly References Katy Perry With Fintastic Halloween Costume	Justin Trudeau paid subtle homage to Katy Perry amid the pair’s growing romance with his Halloween costume—an inflatable shark.	"Watch : Katy Perry Subtly Soft Launches Justin Trudeau Relationship

Katy Perry’s “left shark” lives on.

Over ten years after the “Roar” singer’s s..."		Dating Life				
Matthew Lau: Canada's Trudeau-induced economic coma	"No matter what metric you look at — GDP, business investment, jobs, taxes, crime or identity politics — the figures are grim"	"This advertisement has not loaded yet, but your article continues below.

Matthew Lau: Canada's Trudeau-induced economic coma No matter what metric you look at ..."		Canadian Politics				
Why is Justin Trudeau resigning? Explaining the Canadian PM's political woes	"A decade ago, Canadian Prime Minister Justin Trudeau was a shining figure in international diplomacy. Now he's resigning"	"A decade ago, Canadian Prime Minister Justin Trudeau emerged on the international political scene, triumphant after scoring his first term in power.

Almost imm..."		Resignation				
Justin Trudeau resigns as Liberal leader: Follow live updates	Prime Minister Justin Trudeau has stepped down as Liberal leader. Follow along for live updates from CTVNews.ca.	"Prime Minister Justin Trudeau has announced his resignation as leader of the Liberal party.

He will remain the prime minister until a new leader is chosen.

CT..."		Resignation				
Justin Trudeau Thirsts Over Katy Perry At Her Concert	"The internet is in a frenzy after seeing video footage of Justin Trudeau oogling Katy Perry at her ""Lifetimes Tour"" stop in Montreal July 30."	"The internet is in a frenzy after seeing video footage of Justin Trudeau oogling Katy Perry at her “Lifetimes Tour” stop in Montreal, Canada, Wednesday.

Th..."		Dating Life				
Trudeau to step down as Canada's PM		"Canadian Prime Minister Justin Trudeau announced his resignation on Monday morning after nine years in power, amid Canada's internal challenges and external pre..."		Resignation				
